asset_name,entity_name,asset_class,current_value,purchase_date,cost_basis,quantity,tax_status,description
Umicore 50 gram goudbaar,J. Suijker Beheer B.V.,precious_metals,49490,2022-07-14,2910,1,settled,Hollandgold kluis - TX:100074159
Maple Leaf 2022 1 troy ounce gouden munt,J. Suijker Beheer B.V.,precious_metals,17872,2022-03-23,7516,4,settled,Hollandgold kluis - TX:100069312
Umicore 50 gram goudbaar,J. Suijker Beheer B.V.,precious_metals,49490,2022-03-28,18594,6,settled,Hollandgold kluis - TX:100068077
Umicore 1oz goudbaar,J. Suijker Beheer B.V.,precious_metals,13404,2022-09-24,3596,2,settled,Hollandgold kluis - TX:100077331
Umicore 1oz goudbaar,J. Suijker Beheer B.V.,precious_metals,13404,2023-03-10,1871,1,settled,Hollandgold kluis - TX:100108811
C. Haffner 100gr,J. Suijker Beheer B.V.,precious_metals,14045,2023-03-10,5811,1,settled,Hollandgold kluis - TX:1008700
Umicore 100gr,J. Suijker Beheer B.V.,precious_metals,14045,2024-12-12,8597,1,settled,Hollandgold kluis - TX:100127122
Umicore 50gr,J. Suijker Beheer B.V.,precious_metals,7070,2024-12-12,4366,1,settled,Hollandgold kluis - TX:100127122
